hour,day_of_week,semester_progress,weather,temperature,occupancy
6,0,0.05,1,72,0.45
7,0,0.05,8,75,0.65
8,0,0.05,1,78,0.35
9,0,0.05,2,76,0.25
10,0,0.05,1,74,0.30
11,0,0.05,8,72,0.40
12,0,0.05,4,65,0.35
13,0,0.05,1,79,0.60
14,0,0.05,2,76,0.70
15,0,0.05,8,78,0.75
16,0,0.05,1,80,0.85
17,0,0.05,2,82,0.90
18,0,0.05,1,84,0.95
19,0,0.05,8,79,0.80
20,0,0.05,4,68,0.55
21,0,0.05,1,76,0.45
22,0,0.05,8,72,0.30
6,1,0.05,1,76,0.50
7,1,0.05,2,73,0.70
8,1,0.05,8,78,0.40
11,1,0.05,1,81,0.45
12,1,0.05,4,65,0.40
14,1,0.05,1,83,0.75
17,1,0.05,2,78,0.92
18,1,0.05,8,82,0.88
19,1,0.05,1,84,0.85
21,1,0.05,4,58,0.50
22,1,0.05,1,76,0.35
10,5,0.05,1,76,0.25
12,5,0.05,3,73,0.20
14,5,0.05,8,78,0.35
16,5,0.05,4,62,0.25
11,6,0.05,8,80,0.15
13,6,0.05,2,75,0.20
15,6,0.05,1,81,0.30
16,6,0.05,4,62,0.18
6,0,0.25,1,85,0.40
7,0,0.25,8,88,0.60
8,0,0.25,2,82,0.30
10,0,0.25,1,86,0.35
12,0,0.25,4,68,0.30
14,0,0.25,1,89,0.65
17,0,0.25,8,84,0.70
18,0,0.25,2,87,0.75
19,0,0.25,1,90,0.65
21,0,0.25,4,65,0.40
22,0,0.25,8,83,0.35
7,1,0.25,1,91,0.55
8,1,0.25,5,52,0.25
11,1,0.25,8,89,0.40
13,1,0.25,1,92,0.62
17,1,0.25,2,84,0.70
18,1,0.25,8,87,0.68
19,1,0.25,1,90,0.65
21,1,0.25,4,58,0.35
10,5,0.25,2,83,0.15
12,5,0.25,1,84,0.18
14,5,0.25,3,72,0.22
16,5,0.25,8,87,0.28
12,6,0.25,1,85,0.12
14,6,0.25,5,48,0.08
16,6,0.25,8,84,0.15
6,0,0.45,1,82,0.20
7,0,0.45,4,55,0.15
8,0,0.45,8,78,0.25
12,0,0.45,1,80,0.35
17,0,0.45,2,82,0.40
18,0,0.45,8,84,0.45
19,0,0.45,1,86,0.38
21,0,0.45,6,28,0.12
22,0,0.45,8,76,0.20
7,1,0.45,1,83,0.25
8,1,0.45,5,48,0.18
13,1,0.45,8,81,0.32
17,1,0.45,1,84,0.45
18,1,0.45,2,77,0.42
19,1,0.45,8,82,0.38
21,1,0.45,4,62,0.22
11,5,0.45,2,76,0.08
14,5,0.45,1,82,0.12
16,5,0.45,4,55,0.10
12,6,0.45,8,79,0.05
15,6,0.45,3,68,0.08
6,0,0.85,1,88,0.35
7,0,0.85,8,90,0.55
12,0,0.85,2,85,0.52
17,0,0.85,1,92,0.58
18,0,0.85,8,89,0.62
19,0,0.85,4,72,0.45
21,0,0.85,1,87,0.42
22,0,0.85,2,84,0.35
7,1,0.85,8,91,0.45
8,1,0.85,1,88,0.50
13,1,0.85,2,86,0.55
17,1,0.85,8,93,0.62
18,1,0.85,1,89,0.60
19,1,0.85,6,45,0.35
21,1,0.85,4,65,0.28
10,5,0.85,1,87,0.15
12,5,0.85,3,75,0.12
14,5,0.85,8,88,0.20
16,5,0.85,2,84,0.25
11,6,0.85,1,86,0.10
13,6,0.85,6,42,0.05
15,6,0.85,8,85,0.12
